on x=-40..11,y=-14..32,z=-31..22
on x=-12..41,y=-30..15,z=-32..21
on x=-9..44,y=-33..17,z=-4..45
on x=-18..35,y=-40..10,z=-38..9
on x=-24..30,y=-11..39,z=-13..37
on x=-41..9,y=-36..10,z=-23..26
on x=-43..9,y=-29..18,z=-19..29
on x=-10..38,y=-36..12,z=-38..11
on x=-49..-3,y=-34..10,z=-7..37
on x=-48..2,y=-2..45,z=-6..41
off x=21..38,y=10..24,z=-28..-12
on x=-16..28,y=-29..24,z=-14..31
off x=-13..0,y=-39..-23,z=-14..-4
on x=-49..-4,y=-35..18,z=-42..4
off x=-40..-25,y=-4..7,z=-28..-9
on x=-6..40,y=-26..24,z=-31..15
off x=-14..-1,y=-4..15,z=-28..-16
on x=-14..37,y=-11..41,z=-44..5
off x=10..23,y=7..16,z=0..12
on x=-18..29,y=-21..26,z=-13..39
on x=52704..79839,y=37868..51010,z=-3392..33510
on x=38091..58614,y=46281..66998,z=28429..43580
on x=-9985..-2240,y=-86835..-71154,z=-52538..-20590
on x=19142..39549,y=-66453..-43948,z=-50566..-30845
on x=-53282..-40034,y=4170..39400,z=59398..76192
on x=32470..54803,y=-47063..-26918,z=-73686..-60192
on x=365..23050,y=-4035..24108,z=67622..79241
on x=-37738..-17266,y=33985..60729,z=33884..49177
on x=-83482..-60595,y=-2931..7326,z=-48357..-28454
on x=-83100..-69364,y=-26771..-8585,z=-45292..-25066
on x=3083..37031,y=-31937..-20818,z=-75053..-58054
on x=-41592..-38250,y=57697..83195,z=19481..22330
on x=61560..74632,y=-48382..-26457,z=-24553..-11151
on x=56483..66008,y=-65722..-47950,z=-16632..3501
on x=35470..60787,y=19347..35344,z=-60634..-49056
on x=-49335..-35993,y=-42627..-34877,z=-72532..-43412
on x=27246..52219,y=50626..61782,z=27719..51216
on x=-85500..-47546,y=19929..45970,z=-27611..-8367
on x=71585..85828,y=-313..13728,z=-23500..-15959
on x=-80663..-64029,y=15111..33015,z=-37149..-22636
on x=51883..74316,y=-43876..-29167,z=-10921..20301
on x=-8903..11201,y=7652..32695,z=58630..86739
on x=-57670..-22158,y=-61857..-50981,z=-46401..-25524
on x=31912..44707,y=64053..73856,z=-17747..4340
on x=-81173..-65386,y=-27630..-16387,z=-6811..14879
on x=40185..69278,y=3762..26275,z=-70046..-55571
on x=-19446..2679,y=-6114..11039,z=-99140..-68449
on x=17709..36452,y=-82309..-52721,z=23100..51328
on x=2043..15305,y=1442..32965,z=-92073..-64481
